text,label
"Data released by the bureau indicates that the economy remained largely stable over the past year, analysts said.",REAL
BREAKING: Anonymous insider reveals the national football league is a total SCAM designed to control the population!!!,FAKE
BREAKING: Anonymous insider reveals the housing market is a total SCAM designed to control the population!!!,FAKE
Doctors are BAFFLED: the hidden dangers of climate policy that 'they' don't want exposed.,FAKE
Economists at the central bank projected the national football league would grow modestly in the coming fiscal year.,REAL
REVEALED: The disturbing conspiracy behind a court ruling that has the internet in total shock.,FAKE
This changes EVERYTHING: unverified report claims artificial intelligence regulation was faked using actors.,FAKE
You will NEVER guess what really happened with the stock market — mainstream media REFUSES to report this!,FAKE
REVEALED: The disturbing conspiracy behind the police department that has the internet in total shock.,FAKE
"The organization released its annual report on the national football league, noting modest improvements year over year.",REAL
Government sources who wish to remain anonymous say a wildlife conservation project is far worse than reported.,FAKE
A mysterious source close to the matter says the transportation department was staged from the very beginning.,FAKE
Researchers at the state university published findings on the national football league in a peer-reviewed journal this week.,REAL
Officials confirmed on Tuesday that artificial intelligence regulation will undergo review after a report was submitted to the committee.,REAL
Officials confirmed on Tuesday that a court ruling will undergo review after a report was submitted to the committee.,REAL
A panel of independent auditors reviewed a cybersecurity breach and recommended several procedural changes.,REAL
"The organization released its annual report on artificial intelligence regulation, noting modest improvements year over year.",REAL
Experts are STUNNED after leaked documents expose the real agenda behind the stock market.,FAKE
"The study, funded by a federal grant, examined a public health study using data collected from over 2,000 participants.",REAL
They don't want you to know the TRUTH about the national football league. Share before this gets DELETED!,FAKE
"URGENT: space exploration has secretly been rigged for years, according to a whistleblower nobody wants you to hear.",FAKE
Insiders CONFIRM a university research team is being used to secretly manipulate everyday citizens like you.,FAKE
A panel of independent auditors reviewed renewable energy and recommended several procedural changes.,REAL
Government sources who wish to remain anonymous say a public health study is far worse than reported.,FAKE
Miracle claim goes viral: a natural disaster allegedly linked to a secret plot nobody can explain.,FAKE
Wake up! a natural disaster is nothing but a cover-up orchestrated by powerful elites behind closed doors.,FAKE
Researchers at the state university published findings on the housing market in a peer-reviewed journal this week.,REAL
A panel of independent auditors reviewed the stock market and recommended several procedural changes.,REAL
"According to a statement released by the department, a court ruling showed a 3.2 percent change compared to last quarter.",REAL
Miracle claim goes viral: a food safety recall allegedly linked to a secret plot nobody can explain.,FAKE
The mayor's office issued a statement clarifying its position on a court ruling following community feedback sessions.,REAL
The REAL reason behind the healthcare system will make your blood boil — click to see the shocking evidence!,FAKE
People are FURIOUS after discovering the hidden truth about artificial intelligence regulation that was covered up for years.,FAKE
Health officials advised residents to stay informed about climate policy through verified government channels.,REAL
A panel of independent auditors reviewed a government budget bill and recommended several procedural changes.,REAL
SHOCKING: You won't believe what they're hiding about a natural disaster — doctors HATE this one secret!,FAKE
"Local authorities announced a new initiative concerning the central bank, which will be implemented over the next six months.",REAL
People are FURIOUS after discovering the hidden truth about a court ruling that was covered up for years.,FAKE
A mysterious source close to the matter says a natural disaster was staged from the very beginning.,FAKE
A panel of independent auditors reviewed the economy and recommended several procedural changes.,REAL
Is the housing market actually a hoax? This viral post claims 100% proof and everyone is sharing it.,FAKE
"The city council voted 6-3 on Monday to approve new measures related to the central bank, pending final approval.",REAL
"In a press briefing on Thursday, the minister addressed questions about renewable energy and outlined next steps.",REAL
This changes EVERYTHING: unverified report claims the economy was faked using actors.,FAKE
Wake up! a court ruling is nothing but a cover-up orchestrated by powerful elites behind closed doors.,FAKE
Officials confirmed on Tuesday that a local election will undergo review after a report was submitted to the committee.,REAL
"URGENT: a natural disaster has secretly been rigged for years, according to a whistleblower nobody wants you to hear.",FAKE
Doctors are BAFFLED: the hidden dangers of immigration policy that 'they' don't want exposed.,FAKE
A mysterious source close to the matter says immigration policy was staged from the very beginning.,FAKE
"According to a statement released by the department, the police department showed a 3.2 percent change compared to last quarter.",REAL
Company executives confirmed the deal involving a new vaccine during an earnings call with investors on Wednesday.,REAL
The mayor's office issued a statement clarifying its position on the economy following community feedback sessions.,REAL
Insiders CONFIRM the education system is being used to secretly manipulate everyday citizens like you.,FAKE
"The organization released its annual report on the healthcare system, noting modest improvements year over year.",REAL
EXCLUSIVE: Secret files prove the stock market was planned decades in advance by a shadowy group.,FAKE
Doctors are BAFFLED: the hidden dangers of the economy that 'they' don't want exposed.,FAKE
Emergency services responded to the incident related to a wildlife conservation project and confirmed there were no injuries reported.,REAL
Insiders CONFIRM the transportation department is being used to secretly manipulate everyday citizens like you.,FAKE
They don't want you to know the TRUTH about the central bank. Share before this gets DELETED!,FAKE
The mayor's office issued a statement clarifying its position on climate policy following community feedback sessions.,REAL
Health officials advised residents to stay informed about the economy through verified government channels.,REAL
Doctors are BAFFLED: the hidden dangers of renewable energy that 'they' don't want exposed.,FAKE
A mysterious source close to the matter says a wildlife conservation project was staged from the very beginning.,FAKE
Economists at the central bank projected a wildlife conservation project would grow modestly in the coming fiscal year.,REAL
"The city council voted 6-3 on Monday to approve new measures related to the stock market, pending final approval.",REAL
"URGENT: a local election has secretly been rigged for years, according to a whistleblower nobody wants you to hear.",FAKE
They don't want you to know the TRUTH about a tech company merger. Share before this gets DELETED!,FAKE
Insiders CONFIRM a cybersecurity breach is being used to secretly manipulate everyday citizens like you.,FAKE
You will NEVER guess what really happened with the transportation department — mainstream media REFUSES to report this!,FAKE
"A federal judge issued a ruling on a court ruling on Friday, siding with the plaintiffs on two of three counts.",REAL
"According to a statement released by the department, renewable energy showed a 3.2 percent change compared to last quarter.",REAL
EXCLUSIVE: Secret files prove climate policy was planned decades in advance by a shadowy group.,FAKE
"Data released by the bureau indicates that immigration policy remained largely stable over the past year, analysts said.",REAL
Emergency services responded to the incident related to immigration policy and confirmed there were no injuries reported.,REAL
Insiders CONFIRM the economy is being used to secretly manipulate everyday citizens like you.,FAKE
BREAKING: Anonymous insider reveals renewable energy is a total SCAM designed to control the population!!!,FAKE
"URGENT: a cybersecurity breach has secretly been rigged for years, according to a whistleblower nobody wants you to hear.",FAKE
REVEALED: The disturbing conspiracy behind the stock market that has the internet in total shock.,FAKE
People are FURIOUS after discovering the hidden truth about a wildlife conservation project that was covered up for years.,FAKE
People are FURIOUS after discovering the hidden truth about a food safety recall that was covered up for years.,FAKE
"The study, funded by a federal grant, examined the education system using data collected from over 2,000 participants.",REAL
Is a court ruling actually a hoax? This viral post claims 100% proof and everyone is sharing it.,FAKE
"Local authorities announced a new initiative concerning a government budget bill, which will be implemented over the next six months.",REAL
Officials confirmed on Tuesday that the housing market will undergo review after a report was submitted to the committee.,REAL
